Unnamed: 0,input_a,input_b,operand,operand_str,output,MR1_input_a,MR1_input_b,MR1_output,constant,MR2_input_a,MR2_input_b,MR2_output,MR3_input_a,MR3_input_b,MR3_output,MR4_input_a,MR4_input_b,MR4_output,MR1_checker,MR1_checker_str,MR2_checker,MR2_checker_str,MR3_checker,MR3_checker_str,MR4_checker,MR4_checker_str
30,0,6,0,sum,6.0,6.0,0.0,6.0,6.0,0.0,36.0,36.0,6.0,12.0,18.0,-6.0,0.0,-6.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
31,3,9,0,sum,12.0,9.0,3.0,12.0,1.0,3.0,9.0,12.0,4.0,10.0,14.0,2.0,8.0,10.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
32,6,8,0,sum,14.0,8.0,6.0,14.0,4.0,24.0,32.0,56.0,10.0,12.0,22.0,2.0,4.0,6.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
33,9,5,0,sum,14.0,5.0,9.0,14.0,0.0,0.0,0.0,0.0,9.0,5.0,14.0,9.0,5.0,14.0,1.0,No-violated,0.0,Violated,1.0,No-violated,1.0,No-violated
34,1,8,0,sum,9.0,8.0,1.0,9.0,5.0,5.0,40.0,45.0,6.0,13.0,19.0,-4.0,3.0,-1.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
35,9,6,0,sum,15.0,6.0,9.0,15.0,7.0,63.0,42.0,105.0,16.0,13.0,29.0,2.0,-1.0,1.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
36,5,0,0,sum,5.0,0.0,5.0,5.0,2.0,10.0,0.0,10.0,7.0,2.0,9.0,3.0,-2.0,1.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
37,4,0,0,sum,4.0,0.0,4.0,4.0,6.0,24.0,0.0,24.0,10.0,6.0,16.0,-2.0,-6.0,-8.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
38,1,2,0,sum,3.0,2.0,1.0,3.0,3.0,3.0,6.0,9.0,4.0,5.0,9.0,-2.0,-1.0,-3.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
39,8,4,0,sum,12.0,4.0,8.0,12.0,5.0,40.0,20.0,60.0,13.0,9.0,22.0,3.0,-1.0,2.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
40,3,3,0,sum,6.0,3.0,3.0,6.0,6.0,18.0,18.0,36.0,9.0,9.0,18.0,-3.0,-3.0,-6.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
41,2,0,0,sum,2.0,0.0,2.0,2.0,9.0,18.0,0.0,18.0,11.0,9.0,20.0,-7.0,-9.0,-16.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
42,3,5,0,sum,8.0,5.0,3.0,8.0,7.0,21.0,35.0,56.0,10.0,12.0,22.0,-4.0,-2.0,-6.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
43,5,6,0,sum,11.0,6.0,5.0,11.0,8.0,40.0,48.0,88.0,13.0,14.0,27.0,-3.0,-2.0,-5.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
44,5,4,0,sum,9.0,4.0,5.0,9.0,2.0,10.0,8.0,18.0,7.0,6.0,13.0,3.0,2.0,5.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
45,1,3,0,sum,4.0,3.0,1.0,4.0,3.0,3.0,9.0,12.0,4.0,6.0,10.0,-2.0,0.0,-2.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
46,8,0,0,sum,8.0,0.0,8.0,8.0,7.0,56.0,0.0,56.0,15.0,7.0,22.0,1.0,-7.0,-6.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
47,9,7,0,sum,16.0,7.0,9.0,16.0,2.0,18.0,14.0,32.0,11.0,9.0,20.0,7.0,5.0,12.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
48,3,9,0,sum,12.0,9.0,3.0,12.0,4.0,12.0,36.0,48.0,7.0,13.0,20.0,-1.0,5.0,4.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
49,9,4,0,sum,13.0,4.0,9.0,13.0,6.0,54.0,24.0,78.0,15.0,10.0,25.0,3.0,-2.0,1.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
50,1,3,0,sum,4.0,3.0,1.0,4.0,7.0,7.0,21.0,28.0,8.0,10.0,18.0,-6.0,-4.0,-10.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
51,9,2,0,sum,11.0,2.0,9.0,11.0,6.0,54.0,12.0,66.0,15.0,8.0,23.0,3.0,-4.0,-1.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
52,9,2,0,sum,11.0,2.0,9.0,11.0,1.0,9.0,2.0,11.0,10.0,3.0,13.0,8.0,1.0,9.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
53,5,0,0,sum,5.0,0.0,5.0,5.0,9.0,45.0,0.0,45.0,14.0,9.0,23.0,-4.0,-9.0,-13.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
54,6,6,0,sum,12.0,6.0,6.0,12.0,4.0,24.0,24.0,48.0,10.0,10.0,20.0,2.0,2.0,4.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
55,8,5,0,sum,13.0,5.0,8.0,13.0,1.0,8.0,5.0,13.0,9.0,6.0,15.0,7.0,4.0,11.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
56,6,1,0,sum,7.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,6.0,1.0,7.0,6.0,1.0,7.0,1.0,No-violated,0.0,Violated,1.0,No-violated,1.0,No-violated
57,7,4,0,sum,11.0,4.0,7.0,11.0,7.0,49.0,28.0,77.0,14.0,11.0,25.0,0.0,-3.0,-3.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
58,1,4,0,sum,5.0,4.0,1.0,5.0,6.0,6.0,24.0,30.0,7.0,10.0,17.0,-5.0,-2.0,-7.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
59,9,4,0,sum,13.0,4.0,9.0,13.0,9.0,81.0,36.0,117.0,18.0,13.0,31.0,0.0,-5.0,-5.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
60,6,6,0,sum,12.0,6.0,6.0,12.0,3.0,18.0,18.0,36.0,9.0,9.0,18.0,3.0,3.0,6.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
61,7,3,0,sum,10.0,3.0,7.0,10.0,3.0,21.0,9.0,30.0,10.0,6.0,16.0,4.0,0.0,4.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
62,9,4,0,sum,13.0,4.0,9.0,13.0,8.0,72.0,32.0,104.0,17.0,12.0,29.0,1.0,-4.0,-3.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
63,1,4,0,sum,5.0,4.0,1.0,5.0,8.0,8.0,32.0,40.0,9.0,12.0,21.0,-7.0,-4.0,-11.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
64,6,5,0,sum,11.0,5.0,6.0,11.0,2.0,12.0,10.0,22.0,8.0,7.0,15.0,4.0,3.0,7.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
65,5,7,0,sum,12.0,7.0,5.0,12.0,5.0,25.0,35.0,60.0,10.0,12.0,22.0,0.0,2.0,2.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
66,4,4,0,sum,8.0,4.0,4.0,8.0,9.0,36.0,36.0,72.0,13.0,13.0,26.0,-5.0,-5.0,-10.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
67,5,3,0,sum,8.0,3.0,5.0,8.0,6.0,30.0,18.0,48.0,11.0,9.0,20.0,-1.0,-3.0,-4.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
68,4,1,0,sum,5.0,1.0,4.0,5.0,6.0,24.0,6.0,30.0,10.0,7.0,17.0,-2.0,-5.0,-7.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
69,7,9,0,sum,16.0,9.0,7.0,16.0,2.0,14.0,18.0,32.0,9.0,11.0,20.0,5.0,7.0,12.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
70,7,8,0,sum,15.0,8.0,7.0,15.0,1.0,7.0,8.0,15.0,8.0,9.0,17.0,6.0,7.0,13.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
71,5,8,0,sum,13.0,8.0,5.0,13.0,0.0,0.0,0.0,0.0,5.0,8.0,13.0,5.0,8.0,13.0,1.0,No-violated,0.0,Violated,1.0,No-violated,1.0,No-violated
72,2,7,0,sum,9.0,7.0,2.0,9.0,0.0,0.0,0.0,0.0,2.0,7.0,9.0,2.0,7.0,9.0,1.0,No-violated,0.0,Violated,1.0,No-violated,1.0,No-violated
73,9,3,0,sum,12.0,3.0,9.0,12.0,7.0,63.0,21.0,84.0,16.0,10.0,26.0,2.0,-4.0,-2.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
74,8,9,0,sum,17.0,9.0,8.0,17.0,2.0,16.0,18.0,34.0,10.0,11.0,21.0,6.0,7.0,13.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
75,0,5,0,sum,5.0,5.0,0.0,5.0,5.0,0.0,25.0,25.0,5.0,10.0,15.0,-5.0,0.0,-5.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
76,0,7,0,sum,7.0,7.0,0.0,7.0,8.0,0.0,56.0,56.0,8.0,15.0,23.0,-8.0,-1.0,-9.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
77,0,1,0,sum,1.0,1.0,0.0,1.0,8.0,0.0,8.0,8.0,8.0,9.0,17.0,-8.0,-7.0,-15.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
78,2,1,0,sum,3.0,1.0,2.0,3.0,4.0,8.0,4.0,12.0,6.0,5.0,11.0,-2.0,-3.0,-5.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
79,5,6,0,sum,11.0,6.0,5.0,11.0,7.0,35.0,42.0,77.0,12.0,13.0,25.0,-2.0,-1.0,-3.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
80,3,6,0,sum,9.0,6.0,3.0,9.0,9.0,27.0,54.0,81.0,12.0,15.0,27.0,-6.0,-3.0,-9.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
81,3,1,0,sum,4.0,1.0,3.0,4.0,1.0,3.0,1.0,4.0,4.0,2.0,6.0,2.0,0.0,2.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
82,7,3,0,sum,10.0,3.0,7.0,10.0,8.0,56.0,24.0,80.0,15.0,11.0,26.0,-1.0,-5.0,-6.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
83,6,2,0,sum,8.0,2.0,6.0,8.0,7.0,42.0,14.0,56.0,13.0,9.0,22.0,-1.0,-5.0,-6.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
84,0,5,0,sum,5.0,5.0,0.0,5.0,7.0,0.0,35.0,35.0,7.0,12.0,19.0,-7.0,-2.0,-9.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
85,8,4,0,sum,12.0,4.0,8.0,12.0,6.0,48.0,24.0,72.0,14.0,10.0,24.0,2.0,-2.0,0.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
86,7,3,0,sum,10.0,3.0,7.0,10.0,4.0,28.0,12.0,40.0,11.0,7.0,18.0,3.0,-1.0,2.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
87,4,1,0,sum,5.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,4.0,1.0,5.0,1.0,No-violated,0.0,Violated,1.0,No-violated,1.0,No-violated
88,9,1,0,sum,10.0,1.0,9.0,10.0,3.0,27.0,3.0,30.0,12.0,4.0,16.0,6.0,-2.0,4.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
89,6,4,0,sum,10.0,4.0,6.0,10.0,9.0,54.0,36.0,90.0,15.0,13.0,28.0,-3.0,-5.0,-8.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
90,7,2,0,sum,9.0,2.0,7.0,9.0,9.0,63.0,18.0,81.0,16.0,11.0,27.0,-2.0,-7.0,-9.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
91,5,5,0,sum,10.0,5.0,5.0,10.0,1.0,5.0,5.0,10.0,6.0,6.0,12.0,4.0,4.0,8.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
92,8,0,0,sum,8.0,0.0,8.0,8.0,5.0,40.0,0.0,40.0,13.0,5.0,18.0,3.0,-5.0,-2.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
93,6,3,0,sum,9.0,3.0,6.0,9.0,5.0,30.0,15.0,45.0,11.0,8.0,19.0,1.0,-2.0,-1.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
94,4,1,0,sum,5.0,1.0,4.0,5.0,1.0,4.0,1.0,5.0,5.0,2.0,7.0,3.0,0.0,3.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
95,8,7,0,sum,15.0,7.0,8.0,15.0,1.0,8.0,7.0,15.0,9.0,8.0,17.0,7.0,6.0,13.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
96,1,9,0,sum,10.0,9.0,1.0,10.0,3.0,3.0,27.0,30.0,4.0,12.0,16.0,-2.0,6.0,4.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
97,3,1,0,sum,4.0,1.0,3.0,4.0,3.0,9.0,3.0,12.0,6.0,4.0,10.0,0.0,-2.0,-2.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
98,1,4,0,sum,5.0,4.0,1.0,5.0,5.0,5.0,20.0,25.0,6.0,9.0,15.0,-4.0,-1.0,-5.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
99,9,7,0,sum,16.0,7.0,9.0,16.0,7.0,63.0,49.0,112.0,16.0,14.0,30.0,2.0,0.0,2.0,1.0,No-violated,1.0,No-violated,0.0,Violated,0.0,Violated
